"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"My Love from Another Star",2013,"Episode #1.1",1,1,1,7.6,171,"tt3718938","tt3469052"
"My Love from Another Star",2013,"Episode #1.2",1,2,2,7.9,142,"tt3718942","tt3469052"
"My Love from Another Star",2013,"Episode #1.3",1,3,3,7.9,138,"tt3718954","tt3469052"
"My Love from Another Star",2013,"Episode #1.4",1,4,4,8.3,135,"tt3718972","tt3469052"
"My Love from Another Star",2013,"Episode #1.5",1,5,5,8,131,"tt3718964","tt3469052"
"My Love from Another Star",2013,"Episode #1.6",1,6,6,8.3,130,"tt3718974","tt3469052"
"My Love from Another Star",2013,"Episode #1.7",1,7,7,8.5,129,"tt3718980","tt3469052"
"My Love from Another Star",2013,"Episode #1.8",1,8,8,8.4,125,"tt3718978","tt3469052"
"My Love from Another Star",2013,"Episode #1.9",1,9,9,8.3,124,"tt3718982","tt3469052"
"My Love from Another Star",2013,"Episode #1.10",1,10,10,8.4,120,"tt3718976","tt3469052"
"My Love from Another Star",2013,"Episode #1.11",1,11,11,8.5,125,"tt3719028","tt3469052"
"My Love from Another Star",2013,"Episode #1.12",1,12,12,8.3,119,"tt3719042","tt3469052"
"My Love from Another Star",2013,"Episode #1.13",1,13,13,8,121,"tt3719024","tt3469052"
"My Love from Another Star",2013,"Episode #1.14",1,14,14,8.3,119,"tt3719038","tt3469052"
"My Love from Another Star",2013,"Episode #1.15",1,15,15,8.4,125,"tt3719044","tt3469052"
"My Love from Another Star",2013,"Episode #1.16",1,16,16,8.2,120,"tt3719026","tt3469052"
"My Love from Another Star",2013,"Episode #1.17",1,17,17,8.4,120,"tt3719040","tt3469052"
"My Love from Another Star",2013,"Episode #1.18",1,18,18,8.8,135,"tt3719046","tt3469052"
"My Love from Another Star",2013,"Episode #1.19",1,19,19,8.7,139,"tt3719060","tt3469052"
"My Love from Another Star",2013,"Episode #1.20",1,20,20,8.4,127,"tt3719056","tt3469052"
"My Love from Another Star",2013,"Episode #1.21",1,21,21,8.5,148,"tt3719064","tt3469052"
