"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Quarry",2016,"You Don't Miss Your Water",1,1,1,8.6,988,"tt4455668","tt2980696"
"Quarry",2016,"Figure Four",1,2,2,8.3,683,"tt4634852","tt2980696"
"Quarry",2016,"A Mouthful of Splinters",1,3,3,8,605,"tt4634850","tt2980696"
"Quarry",2016,"Seldom Realized",1,4,4,8.3,606,"tt4643066","tt2980696"
"Quarry",2016,"Coffee Blues",1,5,5,7.7,525,"tt4634906","tt2980696"
"Quarry",2016,"His Deeds Were Scattered",1,6,6,8,507,"tt4653156","tt2980696"
"Quarry",2016,"Carnival of Souls",1,7,7,8.3,520,"tt4653170","tt2980696"
"Quarry",2016,"Nuoc Chay Da Mon",1,8,8,9.1,720,"tt4653168","tt2980696"
