"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Fuller House",2016,"Our Very First Show Again",1,1,1,7.4,1174,"tt4625398","tt3986586"
"Fuller House",2016,"Moving Day",1,2,2,7,760,"tt4662772","tt3986586"
"Fuller House",2016,"Funner House",1,3,3,7.4,749,"tt4662796","tt3986586"
"Fuller House",2016,"The Not-So-Great Escape",1,4,4,7.1,627,"tt4662788","tt3986586"
"Fuller House",2016,"Mad Max",1,5,5,7.4,624,"tt4662794","tt3986586"
"Fuller House",2016,"The Legend of El Explosivo",1,6,6,6.9,610,"tt4662786","tt3986586"
"Fuller House",2016,"Ramona's Not-So-Epic Party",1,7,7,7.2,564,"tt4662802","tt3986586"
"Fuller House",2016,"Secrets Lies and Firetrucks",1,8,8,7.4,564,"tt4662800","tt3986586"
"Fuller House",2016,"War of the Roses",1,9,9,7.5,564,"tt4662798","tt3986586"
"Fuller House",2016,"A Giant Leap",1,10,10,7.4,559,"tt4662806","tt3986586"
"Fuller House",2016,"Partnerships in the Night",1,11,11,7.3,540,"tt4662804","tt3986586"
"Fuller House",2016,"Save the Dates",1,12,12,7.4,552,"tt4662812","tt3986586"
"Fuller House",2016,"Love Is in the Air",1,13,13,7.3,572,"tt4662810","tt3986586"
"Fuller House",2016,"Welcome Back",2,1,14,7.2,434,"tt5515246","tt3986586"
"Fuller House",2016,"Mom Interference",2,2,15,7.2,396,"tt5714642","tt3986586"
"Fuller House",2016,"Ramona's Not-So-Epic First Kiss",2,3,16,7,373,"tt5743326","tt3986586"
"Fuller House",2016,"Curse of Tanner Manor",2,4,17,7.2,357,"tt5774260","tt3986586"
"Fuller House",2016,"Doggy Daddy",2,5,18,7.2,355,"tt5774304","tt3986586"
"Fuller House",2016,"Fuller Thanksgiving",2,6,19,8,448,"tt5829994","tt3986586"
"Fuller House",2016,"Girl Talk",2,7,20,7.5,370,"tt6084232","tt3986586"
"Fuller House",2016,"A Tangled Web",2,8,21,7.2,341,"tt6084230","tt3986586"
"Fuller House",2016,"Glazed and Confused",2,9,22,7.5,348,"tt5985718","tt3986586"
"Fuller House",2016,"New Kids in the House",2,10,23,7.8,384,"tt6084234","tt3986586"
"Fuller House",2016,"DJ and Kimmy's High School Reunion",2,11,24,7.8,371,"tt6084236","tt3986586"
"Fuller House",2016,"Nutcrackers",2,12,25,7.6,357,"tt6084238","tt3986586"
"Fuller House",2016,"Happy New Year Baby",2,13,26,7.9,372,"tt6084240","tt3986586"
"Fuller House",2016,"Best Summer Ever",3,1,27,7.1,324,"tt6385216","tt3986586"
"Fuller House",2016,"Break a Leg",3,2,28,7.3,304,"tt6761278","tt3986586"
"Fuller House",2016,"Declarations of Independence",3,3,29,7.2,297,"tt7301646","tt3986586"
"Fuller House",2016,"My Little Hickey",3,4,30,6.9,292,"tt7227860","tt3986586"
"Fuller House",2016,"Uncle Jesse's Adventures in Babysitting",3,5,31,7.4,291,"tt7408418","tt3986586"
"Fuller House",2016,"M-M-M-My Ramona",3,6,32,7.1,276,"tt6839126","tt3986586"
"Fuller House",2016,"Say Yes to the Dress",3,7,33,7.6,292,"tt7301648","tt3986586"
"Fuller House",2016,"Maybe Baby",3,8,34,7.1,283,"tt6937634","tt3986586"
"Fuller House",2016,"Wedding or Not Here We Come",3,9,35,7.8,315,"tt6911576","tt3986586"
"Fuller House",2016,"My Best Friend's Japanese Wedding",3,10,36,6.6,360,"tt7064202","tt3986586"
"Fuller House",2016,"Troller Coaster",3,11,37,6.9,262,"tt7638738","tt3986586"
"Fuller House",2016,"Fast Times At Bayview High",3,12,38,7,269,"tt7638742","tt3986586"
"Fuller House",2016,"A Tommy Tale",3,13,39,6.8,253,"tt7638746","tt3986586"
"Fuller House",2016,"Surrogate City",3,14,40,7.1,255,"tt7158386","tt3986586"
"Fuller House",2016,"Soul Sisters",3,15,41,7.1,252,"tt7166160","tt3986586"
"Fuller House",2016,"Happily Ever After",3,16,42,7.1,258,"tt7298568","tt3986586"
"Fuller House",2016,"Fullers in a Fog",3,17,43,7.8,277,"tt7298572","tt3986586"
"Fuller House",2016,"Here Comes the Sun",3,18,44,8,301,"tt6385210","tt3986586"
"Fuller House",2016,"Oh My Santa",4,1,45,7.4,296,"tt7943010","tt3986586"
"Fuller House",2016,"Big Night",4,2,46,6.9,265,"tt8467682","tt3986586"
"Fuller House",2016,"A Sense of Purpose",4,3,47,7.2,252,"tt8583886","tt3986586"
"Fuller House",2016,"Ghosted",4,4,48,7,252,"tt8567282","tt3986586"
"Fuller House",2016,"No Escape",4,5,49,7.1,245,"tt8567286","tt3986586"
"Fuller House",2016,"Angels' Night Out",4,6,50,7.3,271,"tt8602386","tt3986586"
"Fuller House",2016,"President Fuller",4,7,51,7.1,238,"tt8723466","tt3986586"
"Fuller House",2016,"Driving Mr. Jackson",4,8,52,7.4,249,"tt8761660","tt3986586"
"Fuller House",2016,"Perfect Sons",4,9,53,7.1,239,"tt8786628","tt3986586"
"Fuller House",2016,"Golden-Toe Fuller",4,10,54,7.4,236,"tt8786632","tt3986586"
"Fuller House",2016,"It's Always Open",4,11,55,7,232,"tt8786638","tt3986586"
"Fuller House",2016,"The Prom",4,12,56,7.5,236,"tt8786644","tt3986586"
"Fuller House",2016,"Opening Night",4,13,57,7.8,263,"tt8786648","tt3986586"
"Fuller House",2016,"Welcome Home Baby-to-Be-Named-Later",5,1,58,7.5,261,"tt9694004","tt3986586"
"Fuller House",2016,"Hale's Kitchen",5,2,59,7.2,224,"tt10392608","tt3986586"
"Fuller House",2016,"Family Business",5,3,60,7.4,221,"tt10392610","tt3986586"
"Fuller House",2016,"Moms' Night Out",5,4,61,7.4,233,"tt10392612","tt3986586"
"Fuller House",2016,"Ready Player Fuller",5,5,62,7.5,229,"tt10392614","tt3986586"
"Fuller House",2016,"The Mayor's Bird",5,6,63,7.2,219,"tt10392616","tt3986586"
"Fuller House",2016,"DJ's Amazing 40th Birthday Race",5,7,64,7.7,224,"tt10392620","tt3986586"
"Fuller House",2016,"Five Dates with Kimmy Gibbler",5,8,65,7.3,241,"tt10392622","tt3986586"
"Fuller House",2016,"A Modest Proposal",5,9,66,8.4,311,"tt10392624","tt3986586"
"Fuller House",2016,"If the Suit Fits",5,10,67,7.5,208,"tt10392626","tt3986586"
"Fuller House",2016,"Three Weddings and a Musical",5,11,68,7.3,196,"tt10392628","tt3986586"
"Fuller House",2016,"Cold Turkey",5,12,69,7.7,204,"tt10392630","tt3986586"
"Fuller House",2016,"College Tours",5,13,70,7.3,198,"tt10847328","tt3986586"
"Fuller House",2016,"Basic Training",5,14,71,7.4,191,"tt10847566","tt3986586"
"Fuller House",2016,"Be Yourself Free Yourself",5,15,72,7.2,191,"tt10847624","tt3986586"
"Fuller House",2016,"The Nearlywed Game",5,16,73,7.8,201,"tt10847660","tt3986586"
"Fuller House",2016,"Something Borrowed",5,17,74,8.3,213,"tt11061628","tt3986586"
"Fuller House",2016,"Our Very Last Show Again",5,18,75,8.5,309,"tt11061634","tt3986586"
