"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Glitch",2015,"The Risen",1,1,1,7.7,827,"tt4201880","tt4192782"
"Glitch",2015,"Am I in Hell?",1,2,2,7.5,663,"tt4201878","tt4192782"
"Glitch",2015,"Miracle or Punishment",1,3,3,7.3,589,"tt4201882","tt4192782"
"Glitch",2015,"There Is No Justice",1,4,4,7.7,577,"tt4201886","tt4192782"
"Glitch",2015,"The Impossible Triangle",1,5,5,7.6,554,"tt4201884","tt4192782"
"Glitch",2015,"There Must Be Rules",1,6,6,7.9,580,"tt4201888","tt4192782"
"Glitch",2015,"The Rare Bird",2,1,7,7.3,470,"tt7074870","tt4192782"
"Glitch",2015,"Two Truths",2,2,8,7.3,414,"tt7074874","tt4192782"
"Glitch",2015,"All Too Human",2,3,9,7.3,399,"tt7252890","tt4192782"
"Glitch",2015,"A Duty of Care",2,4,10,7.3,393,"tt7252892","tt4192782"
"Glitch",2015,"The Walking Wounded",2,5,11,7.6,394,"tt7252894","tt4192782"
"Glitch",2015,"The Letter",2,6,12,7.7,441,"tt7252896","tt4192782"
"Glitch",2015,"Mum",3,1,13,6.6,367,"tt9565308","tt4192782"
"Glitch",2015,"Quintessence",3,2,14,6.8,318,"tt9658148","tt4192782"
"Glitch",2015,"First Times",3,3,15,6.5,303,"tt9658150","tt4192782"
"Glitch",2015,"Perfectly Safe",3,4,16,6.5,284,"tt9658152","tt4192782"
"Glitch",2015,"The Enemy",3,5,17,6.9,284,"tt9658154","tt4192782"
"Glitch",2015,"Little Gidding",3,6,18,6.1,373,"tt9658156","tt4192782"
