"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Space Force",2020,"The Launch",1,1,1,6.8,3319,"tt10572504","tt9612516"
"Space Force",2020,"Save Epsilon 6!",1,2,2,7.3,2844,"tt10572508","tt9612516"
"Space Force",2020,"Mark and Mallory Go to Washington",1,3,3,7.2,2426,"tt10572514","tt9612516"
"Space Force",2020,"Lunar Habitat",1,4,4,6.9,2259,"tt10572516","tt9612516"
"Space Force",2020,"Space Flag",1,5,5,6.7,2158,"tt10572520","tt9612516"
"Space Force",2020,"The Spy",1,6,6,7.1,2007,"tt10572522","tt9612516"
"Space Force",2020,"Edison Jaymes",1,7,7,6.9,1950,"tt10572524","tt9612516"
"Space Force",2020,"Conjugal Visit",1,8,8,6.9,1911,"tt10572530","tt9612516"
"Space Force",2020,"It's Good to Be Back on the Moon",1,9,9,7.5,1980,"tt10572532","tt9612516"
"Space Force",2020,"Proportionate Response",1,10,10,7.1,1934,"tt10572536","tt9612516"
"Space Force",2020,"The Inquiry",2,1,11,6.9,1102,"tt13463952","tt9612516"
"Space Force",2020,"Budget Cuts",2,2,12,6.6,988,"tt13636672","tt9612516"
"Space Force",2020,"The Chinese Delegation",2,3,13,7.2,972,"tt13636698","tt9612516"
"Space Force",2020,"The Europa Project",2,4,14,6.7,912,"tt13636700","tt9612516"
"Space Force",2020,"Mad (Buff) Confidence",2,5,15,6.8,871,"tt13636702","tt9612516"
"Space Force",2020,"The Doctor's Appointment",2,6,16,6.8,857,"tt13636704","tt9612516"
"Space Force",2020,"The Hack",2,7,17,7.2,979,"tt13636710","tt9612516"
