"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Batman: Caped Crusader",2024,"In Treacherous Waters",1,1,1,7.1,1937,"tt14682936","tt14681596"
"Batman: Caped Crusader",2024,"...And Be a Villain",1,2,2,7.8,1623,"tt16970066","tt14681596"
"Batman: Caped Crusader",2024,"Kiss of the Catwoman",1,3,3,7.8,1493,"tt16970068","tt14681596"
"Batman: Caped Crusader",2024,"The Night of the Hunters",1,4,4,7.9,1362,"tt16970070","tt14681596"
"Batman: Caped Crusader",2024,"The Stress of Her Regard",1,5,5,7.4,1365,"tt16970064","tt14681596"
"Batman: Caped Crusader",2024,"Night Ride",1,6,6,7.2,1229,"tt16970072","tt14681596"
"Batman: Caped Crusader",2024,"Moving Target",1,7,7,7.6,1166,"tt16970074","tt14681596"
"Batman: Caped Crusader",2024,"Nocturne",1,8,8,7.5,1116,"tt16970076","tt14681596"
"Batman: Caped Crusader",2024,"The Killer Inside Me",1,9,9,8.4,1095,"tt16970078","tt14681596"
"Batman: Caped Crusader",2024,"Savage Night",1,10,10,8.5,1118,"tt16970080","tt14681596"
