"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"The Class",2006,"Pilot",1,1,1,7.7,106,"tt0760554","tt0484082"
"The Class",2006,"The Class Visits a Hospital",1,2,2,8,83,"tt0867731","tt0484082"
"The Class",2006,"The Class Learns About Hurricanes",1,3,3,8.7,79,"tt0840829","tt0484082"
"The Class",2006,"The Class Blows the Whistle",1,4,4,8.3,72,"tt0876994","tt0484082"
"The Class",2006,"The Class Gets Frozen Yogurt",1,5,5,7.7,72,"tt0853381","tt0484082"
"The Class",2006,"The Class Goes Trick-Or-Treating",1,6,6,8.1,70,"tt0865041","tt0484082"
"The Class",2006,"The Class Goes to a Bar",1,7,7,8,68,"tt0890229","tt0484082"
"The Class",2006,"The Class Celebrates a Birthday",1,8,8,8.4,73,"tt0900478","tt0484082"
"The Class",2006,"The Class Gives Thanks",1,9,9,8.5,65,"tt0904226","tt0484082"
"The Class",2006,"The Class Runs Into a Convenience Store",1,10,10,8.9,76,"tt0904227","tt0484082"
"The Class",2006,"The Class Celebrates an Anniversary",1,11,11,8.8,68,"tt0890228","tt0484082"
"The Class",2006,"The Class Visits a Bad Neighborhood",1,12,12,8.6,69,"tt0935261","tt0484082"
"The Class",2006,"The Class Hits It",1,13,13,8.6,65,"tt0935259","tt0484082"
"The Class",2006,"The Class Has to Go to a Stupid Museum",1,14,14,8.3,65,"tt0943616","tt0484082"
"The Class",2006,"The Class Eats Moroccan Chicken",1,15,15,8.4,64,"tt0945736","tt0484082"
"The Class",2006,"The Class Has a Snow Day",1,16,16,8.3,65,"tt0943615","tt0484082"
"The Class",2006,"The Class Springs a Leak",1,17,17,8,74,"tt0945737","tt0484082"
"The Class",2006,"The Class Rides a Bull",1,18,18,8.3,62,"tt0971466","tt0484082"
"The Class",2006,"The Class Goes Back to the Hospital",1,19,19,8.1,66,"tt0957658","tt0484082"
