"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Masterpiece Mystery",1980,"She Fell Among Thieves",1,1,1,6.1,9,"tt2024064","tt0080249"
"Masterpiece Mystery",1980,"Father Brown Series I: Three Tools of Death",3,4,2,7.7,8,"tt2025014","tt0080249"
"Masterpiece Mystery",1980,"Father Brown Series I: The Head of Caesar",3,5,3,7.2,7,"tt2025015","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie Stories Series I: Magnolia Blossom",3,20,4,6.6,7,"tt2025007","tt0080249"
"Masterpiece Mystery",1980,"Shades of Darkness: Afterward",4,17,5,7,6,"tt2025072","tt0080249"
"Masterpiece Mystery",1980,"Partners in Crime I: The House of Lurking Death",5,9,6,7.6,6,"tt2041017","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie Stories II: The Mystery of the Blue Jar",5,17,7,6.3,9,"tt2041013","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie Stories II: The Fourth Man",5,18,8,6.4,7,"tt2041012","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie Stories II: The Case of the Middle-Aged Wife",5,20,9,6.4,7,"tt2041011","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie Stories II: The Case of the Discontented Soldier",5,21,10,6,7,"tt2041010","tt0080249"
"Masterpiece Mystery",1980,"The Adventures of Sherlock Holmes I: A Scandal in Bohemia",5,22,11,8.7,10,"tt2041028","tt0080249"
"Masterpiece Mystery",1980,"The Adventures of Sherlock Holmes I: The Speckled Band",5,26,12,8,10,"tt2041034","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple: The Body in the Library 1",6,11,13,7.8,60,"tt2043380","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple: The Body in the Library 2",6,12,14,7.8,42,"tt2043381","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple: The Body in the Library 3",6,13,15,7.8,35,"tt2043356","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple: The Moving Finger 1",6,14,16,8,27,"tt2043357","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple: The Moving Finger 2",6,15,17,8,18,"tt2043358","tt0080249"
"Masterpiece Mystery",1980,"The Adventures of Sherlock Holmes II: The Final Problem",6,21,18,8.2,9,"tt2043438","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple II: A Pocketful of Rye",7,9,19,8.3,27,"tt2043374","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple II: A Murder Is Announced",7,10,20,8.3,34,"tt2043373","tt0080249"
"Masterpiece Mystery",1980,"The Return of Sherlock Holmes I: The Musgrave Ritual",7,14,21,8.8,8,"tt2043446","tt0080249"
"Masterpiece Mystery",1980,"The Return of Sherlock Holmes I: The Six Napoleons",7,18,22,8,10,"tt2043449","tt0080249"
"Masterpiece Mystery",1980,"Dalgliesh: Cover Her Face 2",7,20,23,6.7,8,"tt2043393","tt0080249"
"Masterpiece Mystery",1980,"Dalgliesh: Cover Her Face 3",7,21,24,5.8,7,"tt2043394","tt0080249"
"Masterpiece Mystery",1980,"Dalgliesh: Cover Her Face 4",7,22,25,6.4,7,"tt2043395","tt0080249"
"Masterpiece Mystery",1980,"Dalgliesh: Cover Her Face 5",7,23,26,6.4,7,"tt2043396","tt0080249"
"Masterpiece Mystery",1980,"A Dorothy L. Sayers Mystery: Strong Poison 1",8,1,27,8.3,31,"tt2043418","tt0080249"
"Masterpiece Mystery",1980,"A Dorothy L. Sayers Mystery: Strong Poison 2",8,2,28,8.8,22,"tt2043417","tt0080249"
"Masterpiece Mystery",1980,"A Dorothy L. Sayers Mystery: Strong Poison 3",8,3,29,8.6,23,"tt2043416","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple III: Nemesis 1",8,11,30,8.5,37,"tt2043376","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple III: Nemesis 2",8,12,31,8.1,28,"tt2043377","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple III: At Bertram's Hotel",8,13,32,8.1,32,"tt2043375","tt0080249"
"Masterpiece Mystery",1980,"Inspector Morse I: The Dead of Jericho 1",8,18,33,8,14,"tt2043411","tt0080249"
"Masterpiece Mystery",1980,"Inspector Morse I: The Dead of Jericho 2",8,19,34,7,9,"tt2043412","tt0080249"
"Masterpiece Mystery",1980,"Inspector Morse I: The Silent World of Nicholas Quinn 1",8,20,35,7.4,10,"tt2043410","tt0080249"
"Masterpiece Mystery",1980,"Dalgliesh: The Black Tower 1",8,30,36,6.5,8,"tt2043398","tt0080249"
"Masterpiece Mystery",1980,"Dalgliesh: The Black Tower 2",8,31,37,6.4,7,"tt2043399","tt0080249"
"Masterpiece Mystery",1980,"The Return of Sherlock Holmes II: The Sign of Four",9,3,38,8.2,75,"tt2043454","tt0080249"
"Masterpiece Mystery",1980,"The Return of Sherlock Holmes II: The Devil's Foot",9,4,39,8.6,7,"tt2043452","tt0080249"
"Masterpiece Mystery",1980,"The Return of Sherlock Holmes II: Silver Blaze",9,5,40,9.2,8,"tt2043450","tt0080249"
"Masterpiece Mystery",1980,"The Return of Sherlock Holmes II: The Hound of the Baskervilles",9,8,41,8.4,13,"tt2043453","tt0080249"
"Masterpiece Mystery",1980,"Inspector Morse II: The Wolvercote Tongue",9,9,42,7.9,12,"tt2043415","tt0080249"
"Masterpiece Mystery",1980,"Inspector Morse II: Last Seen Wearing",9,10,43,7,9,"tt2043414","tt0080249"
"Masterpiece Mystery",1980,"Inspector Morse II: Last Bus to Woodstock",9,11,44,7.1,11,"tt2043413","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple IV: Murder at the Vicarage",9,12,45,7.8,40,"tt2043379","tt0080249"
"Masterpiece Mystery",1980,"Agatha Christie's Miss Marple IV: 4:50 from Paddington",9,13,46,8.2,38,"tt2043378","tt0080249"
