"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"G.I. Joe",1990,"United We Stand",1,1,2,7.3,22,"tt0931800","tt0337762"
"G.I. Joe",1990,"Revenge of the Pharaohs",1,2,4,6.8,19,"tt0931798","tt0337762"
"G.I. Joe",1990,"Granny Dearest",1,3,6,6.2,20,"tt0837321","tt0337762"
"G.I. Joe",1990,"Victory at Volcania: Part 1",1,4,8,7.1,17,"tt0931801","tt0337762"
"G.I. Joe",1990,"Victory at Volcania: Part 2",1,5,10,7.2,17,"tt0931802","tt0337762"
"G.I. Joe",1990,"The Nozone Conspiracy",1,6,12,7.5,17,"tt0931799","tt0337762"
"G.I. Joe",1990,"Pigskin Commandos",1,7,14,6.5,20,"tt0935448","tt0337762"
"G.I. Joe",1990,"Cold Shoulder",1,8,16,7.1,17,"tt0934108","tt0337762"
"G.I. Joe",1990,"Injustice and the Cobra Way",1,9,18,6.4,17,"tt0934114","tt0337762"
"G.I. Joe",1990,"General Confusion",1,10,20,6.8,17,"tt0934112","tt0337762"
"G.I. Joe",1990,"Night of the Creepers",1,11,22,7.4,16,"tt0934121","tt0337762"
"G.I. Joe",1990,"That's Entertainment",1,12,24,6.8,15,"tt0934124","tt0337762"
"G.I. Joe",1990,"I Found You... Evy",1,13,26,8.4,17,"tt0931797","tt0337762"
"G.I. Joe",1990,"An Officer and a Viperman",1,14,28,7.8,18,"tt0934103","tt0337762"
"G.I. Joe",1990,"D-Day at Alcatraz: Part 1",1,15,30,7.1,15,"tt0934109","tt0337762"
"G.I. Joe",1990,"D-Day at Alcatraz: Part 2",1,16,32,7,15,"tt0934110","tt0337762"
"G.I. Joe",1990,"The Mind Mangler",1,17,34,6.9,15,"tt0934129","tt0337762"
"G.I. Joe",1990,"BIOK",1,18,36,6.9,15,"tt0934104","tt0337762"
"G.I. Joe",1990,"Stuck on You",1,19,38,6.8,15,"tt0934123","tt0337762"
"G.I. Joe",1990,"Infested Island",2,1,76,7.3,20,"tt0934113","tt0337762"
"G.I. Joe",1990,"Chunnel",2,2,78,6.5,20,"tt0934106","tt0337762"
"G.I. Joe",1990,"The Sword of Power",2,3,80,7.2,20,"tt0934132","tt0337762"
"G.I. Joe",1990,"El Dorado: The Lost City of Gold",2,4,82,7.1,19,"tt0934111","tt0337762"
"G.I. Joe",1990,"Kindergarten Commandos",2,5,84,6.2,19,"tt0934116","tt0337762"
"G.I. Joe",1990,"Long Live Rock & Roll: Part 1",2,6,86,6.8,17,"tt0934117","tt0337762"
"G.I. Joe",1990,"Long Live Rock & Roll: Part 2",2,7,88,7.7,17,"tt0934118","tt0337762"
"G.I. Joe",1990,"The Sludge Factor: Part 1",2,8,90,7.3,19,"tt0934130","tt0337762"
"G.I. Joe",1990,"The Sludge Factor: Part 2",2,9,92,7.2,18,"tt0934131","tt0337762"
"G.I. Joe",1990,"Message from the Deep",2,10,94,6.7,18,"tt0934119","tt0337762"
"G.I. Joe",1990,"The Greatest Evil: Part 1",2,11,96,7.2,21,"tt0934126","tt0337762"
"G.I. Joe",1990,"The Greatest Evil: Part 2",2,12,98,7,20,"tt0934127","tt0337762"
"G.I. Joe",1990,"The Eliminator",2,13,100,7.3,19,"tt0934125","tt0337762"
"G.I. Joe",1990,"A Is for Android",2,14,102,6.6,17,"tt0934102","tt0337762"
"G.I. Joe",1990,"Shadow of a Doubt",2,15,104,6.9,17,"tt0934122","tt0337762"
"G.I. Joe",1990,"Keyboard Warriors",2,16,106,7.1,16,"tt0934115","tt0337762"
"G.I. Joe",1990,"Cobra World",2,17,108,6.2,17,"tt0934107","tt0337762"
"G.I. Joe",1990,"Metal-Head's Reunion",2,18,110,6.4,17,"tt0934120","tt0337762"
"G.I. Joe",1990,"Basic Training",2,19,112,5.5,18,"tt0934105","tt0337762"
"G.I. Joe",1990,"The Legend of Metal-Head",2,20,114,6.6,18,"tt0934128","tt0337762"
