"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Ballers",2015,"Pilot",1,1,1,7.3,1955,"tt3681368","tt2891574"
"Ballers",2015,"Raise Up",1,2,2,7.5,1663,"tt4232024","tt2891574"
"Ballers",2015,"Move the Chains",1,3,3,7.7,1619,"tt4249296","tt2891574"
"Ballers",2015,"Heads Will Roll",1,4,4,7.8,1534,"tt4265266","tt2891574"
"Ballers",2015,"Machete Charge",1,5,5,7.7,1483,"tt4356622","tt2891574"
"Ballers",2015,"Everything Is Everything",1,6,6,7.9,1458,"tt4439938","tt2891574"
"Ballers",2015,"Ends",1,7,7,7.6,1437,"tt4406524","tt2891574"
"Ballers",2015,"Gaslighting",1,8,8,7.8,1398,"tt4424004","tt2891574"
"Ballers",2015,"Head-On",1,9,9,8.2,1557,"tt4511366","tt2891574"
"Ballers",2015,"Flamingos",1,10,10,8.1,1500,"tt4500122","tt2891574"
"Ballers",2015,"Face of the Franchise",2,1,11,7.9,1292,"tt4906664","tt2891574"
"Ballers",2015,"Enter the Temple",2,2,12,7.7,1247,"tt5489474","tt2891574"
"Ballers",2015,"Elidee",2,3,13,8,1238,"tt5516384","tt2891574"
"Ballers",2015,"World of Hurt",2,4,14,7.8,1191,"tt5518286","tt2891574"
"Ballers",2015,"Most Guys",2,5,15,7.8,1184,"tt5518292","tt2891574"
"Ballers",2015,"Saturdaze",2,6,16,7.9,1187,"tt5518294","tt2891574"
"Ballers",2015,"Everybody Knows",2,7,17,8.1,1238,"tt5640822","tt2891574"
"Ballers",2015,"Laying in the Weeds",2,8,18,8.2,1344,"tt5915082","tt2891574"
"Ballers",2015,"Million Bucks in a Bag",2,9,19,8.1,1237,"tt5640834","tt2891574"
"Ballers",2015,"Game Day",2,10,20,8.7,2364,"tt5915090","tt2891574"
"Ballers",2015,"Seeds of Expansion",3,1,21,7.8,1223,"tt5918558","tt2891574"
"Ballers",2015,"Bull Rush",3,2,22,8,1227,"tt6499758","tt2891574"
"Ballers",2015,"In the Teeth",3,3,23,7.7,1144,"tt6499760","tt2891574"
"Ballers",2015,"Ride and Die",3,4,24,7.9,1142,"tt6705564","tt2891574"
"Ballers",2015,"Make Believe",3,5,25,8,1138,"tt6573774","tt2891574"
"Ballers",2015,"I Hate New York",3,6,26,8,1131,"tt6676008","tt2891574"
"Ballers",2015,"Ricky-Leaks",3,7,27,7.8,1096,"tt6733332","tt2891574"
"Ballers",2015,"Alley-Oops",3,8,28,7.9,1107,"tt6711548","tt2891574"
"Ballers",2015,"Crackback",3,9,29,8.2,1235,"tt6521064","tt2891574"
"Ballers",2015,"Yay Area",3,10,30,8,1086,"tt6487652","tt2891574"
"Ballers",2015,"Rough Ride",4,1,31,7.8,1498,"tt7236582","tt2891574"
"Ballers",2015,"Don't You Wanna Be Obama?",4,2,32,7.9,1397,"tt7920066","tt2891574"
"Ballers",2015,"This Is Not Our World",4,3,33,7.9,1190,"tt7896044","tt2891574"
"Ballers",2015,"Forgiving Is Living",4,4,34,7.7,1138,"tt7984394","tt2891574"
"Ballers",2015,"Doink",4,5,35,7.8,1112,"tt7984400","tt2891574"
"Ballers",2015,"No Small Talk",4,6,36,7.8,1018,"tt8210096","tt2891574"
"Ballers",2015,"The Kids Are Aight",4,7,37,7.4,1112,"tt8070866","tt2891574"
"Ballers",2015,"The Devil You Know",4,8,38,7.8,941,"tt8070872","tt2891574"
"Ballers",2015,"There's No Place Like Home Baby",4,9,39,8,986,"tt8210126","tt2891574"
"Ballers",2015,"Protocol Is for Losers",5,1,40,7.4,682,"tt8956928","tt2891574"
"Ballers",2015,"Must Be the Shoes",5,2,41,7.1,593,"tt8956930","tt2891574"
"Ballers",2015,"Copernicursed",5,3,42,7.2,471,"tt8956932","tt2891574"
"Ballers",2015,"Municipal",5,4,43,7.2,471,"tt8956934","tt2891574"
"Ballers",2015,"Crumbs",5,5,44,7.8,778,"tt8956936","tt2891574"
"Ballers",2015,"Edutainment",5,6,45,7.2,428,"tt8956938","tt2891574"
"Ballers",2015,"Who Wants a Lollipop",5,7,46,7.5,430,"tt8956940","tt2891574"
"Ballers",2015,"Players Only",5,8,47,8.3,1311,"tt8956946","tt2891574"
