"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Going Tribal",2005,"Adi",1,1,1,8.5,10,"tt1099058","tt0481448"
"Going Tribal",2005,"Suri",1,2,2,8.1,14,"tt1048980","tt0481448"
"Going Tribal",2005,"Kombai",1,3,3,8.8,19,"tt1037623","tt0481448"
"Going Tribal",2005,"Babongo",1,4,4,8.8,14,"tt1037622","tt0481448"
"Going Tribal",2005,"Darhad",1,5,5,8.6,11,"tt0872977","tt0481448"
"Going Tribal",2005,"Sanema",1,6,6,8.9,11,"tt1037626","tt0481448"
"Going Tribal",2005,"Nyangatom",2,1,7,7.8,8,"tt1037624","tt0481448"
"Going Tribal",2005,"Hamar",2,2,8,7.4,11,"tt1037625","tt0481448"
"Going Tribal",2005,"Dassanech",2,3,9,7.7,10,"tt0805276","tt0481448"
"Going Tribal",2005,"Matis",3,1,10,8.2,11,"tt1093773","tt0481448"
"Going Tribal",2005,"Nenets",3,2,11,8.5,15,"tt1270042","tt0481448"
"Going Tribal",2005,"Anuta",3,3,12,8.6,12,"tt1273640","tt0481448"
"Going Tribal",2005,"Akie",3,4,13,8.3,12,"tt1106700","tt0481448"
"Going Tribal",2005,"Layap",3,5,14,8.6,12,"tt1273641","tt0481448"
"Going Tribal",2005,"Penan",3,6,15,8.6,11,"tt1273642","tt0481448"
