"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"La Verdad: Beginnings",2012,"The Lion and the Lamb",1,1,1,9.3,18,"tt2955696","tt2925114"
"La Verdad: Beginnings",2012,"The Second Coming",1,2,2,9.4,18,"tt2955732","tt2925114"
"La Verdad: Beginnings",2012,"Along Came a Devil",1,3,3,9.4,19,"tt2955744","tt2925114"
"La Verdad: Beginnings",2012,"Born Again",1,4,4,9.7,30,"tt2963442","tt2925114"
"La Verdad: Beginnings",2012,"A Sin Before Midnight",1,5,5,9.4,16,"tt2963604","tt2925114"
"La Verdad: Beginnings",2012,"Dark Side of the Moon",1,6,6,9.7,29,"tt2963614","tt2925114"
"La Verdad: Beginnings",2012,"The Broad and Narrow Road (Pt.1)",1,7,7,9.7,29,"tt3186898","tt2925114"
"La Verdad: Beginnings",2012,"The Broad and Narrow Road (Pt.2)",1,8,8,9.4,16,"tt3201954","tt2925114"
"La Verdad: Beginnings",2012,"My Sister's Keeper",1,9,9,9.7,29,"tt3201960","tt2925114"
"La Verdad: Beginnings",2012,"Save Me O God",1,10,10,9.4,16,"tt3275712","tt2925114"
"La Verdad: Beginnings",2012,"From Whence Cometh My Help (Pt.1)",1,11,11,9.7,29,"tt3317972","tt2925114"
"La Verdad: Beginnings",2012,"From Whence Cometh My Help (Pt.2)",1,12,12,9.5,30,"tt3317990","tt2925114"
