"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"666 Park Avenue",2012,"Pilot",1,1,1,7.1,510,"tt2157840","tt2197797"
"666 Park Avenue",2012,"Murmurations",1,2,2,7.1,369,"tt2382712","tt2197797"
"666 Park Avenue",2012,"The Dead Don't Stay Dead",1,3,3,7.3,339,"tt2382714","tt2197797"
"666 Park Avenue",2012,"Hero Complex",1,4,4,7.1,312,"tt2382718","tt2197797"
"666 Park Avenue",2012,"A Crowd of Demons",1,5,5,7.2,310,"tt2370536","tt2197797"
"666 Park Avenue",2012,"Diabolic",1,6,6,6.9,268,"tt2436362","tt2197797"
"666 Park Avenue",2012,"Downward Spiral",1,7,7,7.6,285,"tt2470258","tt2197797"
"666 Park Avenue",2012,"What Ever Happened to Baby Jane?",1,8,8,7,243,"tt2505942","tt2197797"
"666 Park Avenue",2012,"Hypnos",1,9,9,7.5,267,"tt2439840","tt2197797"
"666 Park Avenue",2012,"The Comfort of Death",1,10,10,7,239,"tt2561240","tt2197797"
"666 Park Avenue",2012,"Sins of the Fathers",1,11,11,7.1,222,"tt2561566","tt2197797"
"666 Park Avenue",2012,"The Elysian Fields",1,12,12,7.1,217,"tt2543606","tt2197797"
"666 Park Avenue",2012,"Lazarus",1,13,13,7,250,"tt2567420","tt2197797"
