"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"The Mechanism",2018,"Lava Jato",1,1,1,7.4,822,"tt7381630","tt6873658"
"The Mechanism",2018,"Halawi",1,2,2,7.5,664,"tt7381632","tt6873658"
"The Mechanism",2018,"Ventos Frios Vindos do Sul",1,3,3,7.7,609,"tt7381634","tt6873658"
"The Mechanism",2018,"Fundo Falso",1,4,4,8,585,"tt7381636","tt6873658"
"The Mechanism",2018,"Olhos Vermelhos",1,5,5,7.7,567,"tt7381640","tt6873658"
"The Mechanism",2018,"Eles Sabiam de Tudo",1,6,6,7.8,553,"tt7381642","tt6873658"
"The Mechanism",2018,"O Último Respiro",1,7,7,7.8,565,"tt7548014","tt6873658"
"The Mechanism",2018,"Juízo Final",1,8,8,7.8,579,"tt7548024","tt6873658"
"The Mechanism",2018,"De Onde Vem a Lama?",2,1,9,7.3,205,"tt10260342","tt6873658"
"The Mechanism",2018,"Del Este",2,2,10,7.3,174,"tt10311164","tt6873658"
"The Mechanism",2018,"Adictos",2,3,11,7.2,174,"tt10311172","tt6873658"
"The Mechanism",2018,"O Grande Ilusionista",2,4,12,7.3,170,"tt10311184","tt6873658"
"The Mechanism",2018,"Ponte da Amizade",2,5,13,7.4,178,"tt10311190","tt6873658"
"The Mechanism",2018,"Réquiem",2,6,14,6.9,170,"tt10311192","tt6873658"
"The Mechanism",2018,"O Fim e os Meios",2,7,15,6.8,177,"tt10311196","tt6873658"
"The Mechanism",2018,"Canastra Suja",2,8,16,7.3,182,"tt10311202","tt6873658"
