"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Extraordinary Attorney Woo",2022,"Extraordinary Attorney Woo",1,1,1,8.5,1056,"tt21167784","tt20869502"
"Extraordinary Attorney Woo",2022,"The Wedding Dress That Slipped Off",1,2,2,8.1,810,"tt21191652","tt20869502"
"Extraordinary Attorney Woo",2022,"This Is Pengsoo",1,3,3,8.6,790,"tt21205100","tt20869502"
"Extraordinary Attorney Woo",2022,"The Strife of the Three Brothers",1,4,4,8.6,693,"tt21205102","tt20869502"
"Extraordinary Attorney Woo",2022,"Wild Card VS Tactician",1,5,5,8,632,"tt21205104","tt20869502"
"Extraordinary Attorney Woo",2022,"If I Were a Whale",1,6,6,8.2,635,"tt21205108","tt20869502"
"Extraordinary Attorney Woo",2022,"A Tale About Sodeok-dong I",1,7,7,8.3,588,"tt21205112","tt20869502"
"Extraordinary Attorney Woo",2022,"A Tale About Sodeok-dong II",1,8,8,9,765,"tt21205110","tt20869502"
"Extraordinary Attorney Woo",2022,"The Pied Piper",1,9,9,8.4,612,"tt21205120","tt20869502"
"Extraordinary Attorney Woo",2022,"Holding Hands Can Wait",1,10,10,8.5,595,"tt21205118","tt20869502"
"Extraordinary Attorney Woo",2022,"Mr. Salt Ms. Pepper and Attorney Soy Sauce",1,11,11,8.5,519,"tt21205122","tt20869502"
"Extraordinary Attorney Woo",2022,"Yangtze River Dolphin",1,12,12,8.1,493,"tt21205124","tt20869502"
"Extraordinary Attorney Woo",2022,"The Blue Night of Jeju I",1,13,13,8.2,464,"tt21205128","tt20869502"
"Extraordinary Attorney Woo",2022,"The Blue Night of Jeju II",1,14,14,8.3,461,"tt21205126","tt20869502"
"Extraordinary Attorney Woo",2022,"Saying and Doing Things Not Asked",1,15,15,8.4,450,"tt21205132","tt20869502"
"Extraordinary Attorney Woo",2022,"Though Unusual and Peculiar",1,16,16,9,587,"tt21205130","tt20869502"
