"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Time Bandits",2024,"Kevin Haddock",1,1,1,7,505,"tt10003600","tt1928307"
"Time Bandits",2024,"Mayan",1,2,2,6.9,385,"tt26475190","tt1928307"
"Time Bandits",2024,"Medieval",1,3,3,6.9,284,"tt27031700","tt1928307"
"Time Bandits",2024,"Prohibition",1,4,4,6.7,258,"tt27031706","tt1928307"
"Time Bandits",2024,"Georgian",1,5,5,7,218,"tt27031711","tt1928307"
"Time Bandits",2024,"Mansa Musa",1,6,6,7.3,212,"tt24018930","tt1928307"
"Time Bandits",2024,"Ice Age",1,7,7,7,195,"tt27190130","tt1928307"
"Time Bandits",2024,"Home Again",1,8,8,7.4,181,"tt26672696","tt1928307"
"Time Bandits",2024,"Pell-Mell",1,9,9,7,142,"tt26898516","tt1928307"
"Time Bandits",2024,"Fortress of Darkness",1,10,10,7,140,"tt24020358","tt1928307"
