"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Jee Karda",2023,"Will you marry me?",1,1,1,6,133,"tt27925370","tt19868678"
"Jee Karda",2023,"Baby Tu Toh Shark Hai",1,2,2,6.7,82,"tt27925373","tt19868678"
"Jee Karda",2023,"Feel it Fight it",1,3,3,5.7,117,"tt27925374","tt19868678"
"Jee Karda",2023,"Blood Moon",1,4,4,5,132,"tt27925377","tt19868678"
"Jee Karda",2023,"Jawaniyaan",1,5,5,6.2,106,"tt27925378","tt19868678"
"Jee Karda",2023,"Yaar Ki Shaadi",1,6,6,5.7,72,"tt27925379","tt19868678"
"Jee Karda",2023,"Stardust",1,7,7,5.2,71,"tt27925381","tt19868678"
"Jee Karda",2023,"The Big 30",1,8,8,6.6,97,"tt27925387","tt19868678"
