"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Vikram Aur Betaal",1985,"King Vikramaditya and the Yogi/Suryamal and His Bride's Dilemma",1,1,1,8.6,12,"tt1457734","tt0390792"
"Vikram Aur Betaal",1985,"King Rupsen and His Bodyguard Virvar",1,2,2,7.8,9,"tt1457733","tt0390792"
"Vikram Aur Betaal",1985,"Love Story of King Yashodhan",1,3,3,8,8,"tt1514819","tt0390792"
"Vikram Aur Betaal",1985,"Three Suitors and Somprabha",1,4,4,7.9,7,"tt1517054","tt0390792"
"Vikram Aur Betaal",1985,"The Story of Padmavati and Prince Vajramukti",1,5,5,8,8,"tt1517053","tt0390792"
"Vikram Aur Betaal",1985,"Rich Girl Accepts Thief as Husband",1,6,6,8,7,"tt1517052","tt0390792"
"Vikram Aur Betaal",1985,"King Chandrasen and His Servant Satvasheel",1,7,7,8.1,7,"tt1520232","tt0390792"
"Vikram Aur Betaal",1985,"Three Sensitive Brothers",1,8,8,8.3,7,"tt1520234","tt0390792"
"Vikram Aur Betaal",1985,"The Husband the Thief and the Lover",1,9,9,8.2,8,"tt1520233","tt0390792"
"Vikram Aur Betaal",1985,"The Prince and the Three Sensitive Sisters",1,10,10,8.1,7,"tt1520807","tt0390792"
"Vikram Aur Betaal",1985,"Whom Will the Princess Marry?",1,11,11,8,7,"tt1520808","tt0390792"
"Vikram Aur Betaal",1985,"Who Is the Real Father",1,12,12,8.3,7,"tt1520809","tt0390792"
"Vikram Aur Betaal",1985,"The Giant and the Brave Boy",1,13,13,7.6,8,"tt1520810","tt0390792"
"Vikram Aur Betaal",1985,"Love Is Eternal",1,14,14,7.7,7,"tt1520811","tt0390792"
"Vikram Aur Betaal",1985,"The Lover of Princess Chandraprabha",1,15,15,8,7,"tt1520812","tt0390792"
"Vikram Aur Betaal",1985,"The Dilemma of Mahamantri and King Vallabh",1,16,16,7.6,7,"tt1508214","tt0390792"
"Vikram Aur Betaal",1985,"The Unsuccessful Penance of Gunkar",1,17,17,7.4,7,"tt1508216","tt0390792"
"Vikram Aur Betaal",1985,"The Story of Rajkumar and the Bird",1,18,18,7.4,7,"tt1508215","tt0390792"
"Vikram Aur Betaal",1985,"The Gambling Temptation of Gopu",1,19,19,8.1,7,"tt1524888","tt0390792"
"Vikram Aur Betaal",1985,"The Realization of Prince Anandsen",1,20,20,7.7,7,"tt1524895","tt0390792"
"Vikram Aur Betaal",1985,"The Legendary Love of Sukesh and Legendary Duty of King Dharamveer",1,21,21,7.3,7,"tt1524891","tt0390792"
"Vikram Aur Betaal",1985,"The Love Story of Four Princes",1,22,22,7.5,6,"tt1524892","tt0390792"
"Vikram Aur Betaal",1985,"The Justice of King Satyadev",1,23,23,8.2,5,"tt1524890","tt0390792"
"Vikram Aur Betaal",1985,"The Dreams of Dagdoo",1,24,24,8,5,"tt1524887","tt0390792"
"Vikram Aur Betaal",1985,"The Story of Greedy Apurva",1,25,25,8,5,"tt1527576","tt0390792"
"Vikram Aur Betaal",1985,"The Revenge of Nagin",1,26,26,8.7,7,"tt1527575","tt0390792"
