"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"1899",2022,"The Ship",1,1,1,7.9,7060,"tt13760340","tt9319668"
"1899",2022,"The Boy",1,2,2,7.5,5327,"tt14575844","tt9319668"
"1899",2022,"The Fog",1,3,3,7.7,4757,"tt14575852","tt9319668"
"1899",2022,"The Fight",1,4,4,7.9,4522,"tt14574188","tt9319668"
"1899",2022,"The Calling",1,5,5,8.4,4871,"tt14574184","tt9319668"
"1899",2022,"The Pyramid",1,6,6,7.9,4241,"tt14572514","tt9319668"
"1899",2022,"The Storm",1,7,7,8.1,4197,"tt14572512","tt9319668"
"1899",2022,"The Key",1,8,8,8.4,5042,"tt14572510","tt9319668"
