"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Dark Matter",2015,"Pilot - Part 1",1,1,2,7.3,1434,"tt4174892","tt4159076"
"Dark Matter",2015,"Pilot - Part 2",1,2,4,7.1,1179,"tt4193934","tt4159076"
"Dark Matter",2015,"Episode #1.3",1,3,6,7.3,1032,"tt4370532","tt4159076"
"Dark Matter",2015,"Episode #1.4",1,4,8,7.5,951,"tt4381250","tt4159076"
"Dark Matter",2015,"Episode #1.5",1,5,10,7.2,922,"tt4366194","tt4159076"
"Dark Matter",2015,"Episode #1.6",1,6,12,7.5,899,"tt4381252","tt4159076"
"Dark Matter",2015,"Episode #1.7",1,7,14,7.9,941,"tt4381256","tt4159076"
"Dark Matter",2015,"Episode #1.8",1,8,16,7.6,859,"tt4381258","tt4159076"
"Dark Matter",2015,"Episode #1.9",1,9,18,7.4,815,"tt4381262","tt4159076"
"Dark Matter",2015,"Episode #1.10",1,10,19,7.8,817,"tt4381264","tt4159076"
"Dark Matter",2015,"Episode #1.11",1,11,20,8.1,826,"tt4381266","tt4159076"
"Dark Matter",2015,"Episode #1.12",1,12,21,7.9,794,"tt4381270","tt4159076"
"Dark Matter",2015,"Episode #1.13",1,13,22,8.2,920,"tt4381274","tt4159076"
"Dark Matter",2015,"Welcome to Your New Home",2,1,23,7.8,824,"tt4991616","tt4159076"
"Dark Matter",2015,"Kill Them All",2,2,24,8.1,804,"tt5498998","tt4159076"
"Dark Matter",2015,"I've Seen the Other Side of You",2,3,25,7.3,696,"tt5499018","tt4159076"
"Dark Matter",2015,"We Were Family",2,4,26,7.6,679,"tt5499022","tt4159076"
"Dark Matter",2015,"We Voted Not to Space You",2,5,27,7.9,690,"tt5574158","tt4159076"
"Dark Matter",2015,"We Should Have Seen This Coming",2,6,28,7.4,637,"tt5706306","tt4159076"
"Dark Matter",2015,"She's One of Them Now",2,7,29,7.7,621,"tt5770094","tt4159076"
"Dark Matter",2015,"Stuff to Steal People to Kill",2,8,30,7.9,658,"tt5578258","tt4159076"
"Dark Matter",2015,"Going Out Fighting",2,9,31,7.9,627,"tt5564402","tt4159076"
"Dark Matter",2015,"Take the Shot",2,10,32,7.6,605,"tt5872980","tt4159076"
"Dark Matter",2015,"Wish I'd Spaced You When I Had the Chance",2,11,33,7.9,618,"tt5716584","tt4159076"
"Dark Matter",2015,"Sometimes in Life You Don't Get to Choose",2,12,34,8.5,734,"tt5846742","tt4159076"
"Dark Matter",2015,"But First We Save the Galaxy",2,13,35,8.3,709,"tt5718584","tt4159076"
"Dark Matter",2015,"Being Better Is So Much Harder",3,1,36,7.7,623,"tt6072918","tt4159076"
"Dark Matter",2015,"It Doesn't Have to Be Like This",3,2,37,7.7,588,"tt6072926","tt4159076"
"Dark Matter",2015,"Welcome to the Revolution",3,3,38,7.1,585,"tt6072928","tt4159076"
"Dark Matter",2015,"All the Time in the World",3,4,39,8.4,812,"tt6072914","tt4159076"
"Dark Matter",2015,"Give It Up Princess",3,5,40,7.5,556,"tt6072924","tt4159076"
"Dark Matter",2015,"One Last Card to Play",3,6,41,7.5,535,"tt6072930","tt4159076"
"Dark Matter",2015,"Wish I Could Believe You",3,7,42,7.4,538,"tt6072932","tt4159076"
"Dark Matter",2015,"Hot Chocolate",3,8,43,7.8,545,"tt6072922","tt4159076"
"Dark Matter",2015,"Isn't That a Paradox?",3,9,44,8.4,685,"tt6072920","tt4159076"
"Dark Matter",2015,"Built Not Born",3,10,45,8,552,"tt6072916","tt4159076"
"Dark Matter",2015,"The Dwarf Star Conspiracy",3,11,46,8,503,"tt6072934","tt4159076"
"Dark Matter",2015,"My Final Gift to You",3,12,47,8.3,513,"tt6072936","tt4159076"
"Dark Matter",2015,"Nowhere to Go",3,13,48,8.3,596,"tt6072938","tt4159076"
