"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Sivi dom",1984,"Hromi",1,1,1,7.8,14,"tt1081739","tt0090524"
"Sivi dom",1984,"Guster",1,2,2,8.2,13,"tt1081738","tt0090524"
"Sivi dom",1984,"Robija",1,3,3,7.6,8,"tt1081742","tt0090524"
"Sivi dom",1984,"Silja",1,4,4,7.8,9,"tt1081743","tt0090524"
"Sivi dom",1984,"Velizar",1,5,5,7,9,"tt1081745","tt0090524"
"Sivi dom",1984,"Katic",1,6,6,6.4,7,"tt1081740","tt0090524"
"Sivi dom",1984,"Koske",1,7,7,6.7,6,"tt1081741","tt0090524"
"Sivi dom",1984,"Debos",1,8,8,7.2,8,"tt1081737","tt0090524"
"Sivi dom",1984,"Vaspitaci",1,9,9,6.5,8,"tt1081744","tt0090524"
"Sivi dom",1984,"Crni",1,10,10,7.6,10,"tt1081736","tt0090524"
"Sivi dom",1984,"Kec",1,11,11,6.1,11,"tt1083785","tt0090524"
"Sivi dom",1984,"Krik",1,12,12,7.7,9,"tt1083786","tt0090524"
