"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Tillbaka till vintergatan",2003,"Episode #1.1",1,1,1,8.3,10,"tt8268664","tt8252546"
"Tillbaka till vintergatan",2003,"Episode #1.2",1,2,2,7.2,6,"tt12567636","tt8252546"
"Tillbaka till vintergatan",2003,"Episode #1.3",1,3,3,7,6,"tt12993546","tt8252546"
"Tillbaka till vintergatan",2003,"Episode #1.4",1,4,4,7.4,5,"tt12993540","tt8252546"
"Tillbaka till vintergatan",2003,"Episode #1.5",1,5,5,8,6,"tt12993544","tt8252546"
"Tillbaka till vintergatan",2003,"Episode #1.6",1,6,6,7,5,"tt12993550","tt8252546"
"Tillbaka till vintergatan",2003,"Episode #1.7",1,7,7,8.2,5,"tt12993552","tt8252546"
