"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Shadowhunters",2016,"The Mortal Cup",1,1,1,7.1,4452,"tt4601794","tt4145054"
"Shadowhunters",2016,"The Descent Into Hell Isn't Easy",1,2,2,7.2,3829,"tt4741672","tt4145054"
"Shadowhunters",2016,"Dead Man's Party",1,3,3,7.4,3654,"tt4807334","tt4145054"
"Shadowhunters",2016,"Raising Hell",1,4,4,7.8,3629,"tt4928274","tt4145054"
"Shadowhunters",2016,"Moo Shu to Go",1,5,5,7.8,3497,"tt4928276","tt4145054"
"Shadowhunters",2016,"Of Men and Angels",1,6,6,8,3327,"tt4928280","tt4145054"
"Shadowhunters",2016,"Major Arcana",1,7,7,8.1,3264,"tt4888846","tt4145054"
"Shadowhunters",2016,"Bad Blood",1,8,8,7.9,2970,"tt4940096","tt4145054"
"Shadowhunters",2016,"Rise Up",1,9,9,8,2857,"tt4940098","tt4145054"
"Shadowhunters",2016,"This World Inverted",1,10,10,8.1,2805,"tt5134170","tt4145054"
"Shadowhunters",2016,"Blood Calls to Blood",1,11,11,8,2698,"tt5121868","tt4145054"
"Shadowhunters",2016,"Malec",1,12,12,8.7,3473,"tt5134180","tt4145054"
"Shadowhunters",2016,"Morning Star",1,13,13,7.9,2670,"tt5134182","tt4145054"
"Shadowhunters",2016,"This Guilty Blood",2,1,14,7.8,2558,"tt5584048","tt4145054"
"Shadowhunters",2016,"A Door Into the Dark",2,2,15,7.8,2397,"tt5584052","tt4145054"
"Shadowhunters",2016,"Parabatai Lost",2,3,16,8.1,2420,"tt5584054","tt4145054"
"Shadowhunters",2016,"Day of Wrath",2,4,17,8.2,2363,"tt5584056","tt4145054"
"Shadowhunters",2016,"Dust and Shadows",2,5,18,8,2291,"tt5584058","tt4145054"
"Shadowhunters",2016,"Iron Sisters",2,6,19,8.2,2324,"tt5584062","tt4145054"
"Shadowhunters",2016,"How Are Thou Fallen",2,7,20,8.4,2302,"tt5584064","tt4145054"
"Shadowhunters",2016,"Love Is a Devil",2,8,21,8.5,2313,"tt5584066","tt4145054"
"Shadowhunters",2016,"Bound by Blood",2,9,22,8.1,2200,"tt5584068","tt4145054"
"Shadowhunters",2016,"By the Light of Dawn",2,10,23,8.7,2366,"tt5584070","tt4145054"
"Shadowhunters",2016,"Mea Maxima Culpa",2,11,24,8.2,2144,"tt5584074","tt4145054"
"Shadowhunters",2016,"You Are Not Your Own",2,12,25,8.4,2150,"tt5584076","tt4145054"
"Shadowhunters",2016,"Those of Demon Blood",2,13,26,8.2,2141,"tt5584078","tt4145054"
"Shadowhunters",2016,"The Fair Folk",2,14,27,8.5,2204,"tt5616018","tt4145054"
"Shadowhunters",2016,"A Problem of Memory",2,15,28,8.1,2109,"tt5616024","tt4145054"
"Shadowhunters",2016,"Day of Atonement",2,16,29,8.4,2112,"tt5616026","tt4145054"
"Shadowhunters",2016,"A Dark Reflection",2,17,30,8.3,2070,"tt5616030","tt4145054"
"Shadowhunters",2016,"Awake Arise or Be Forever Fallen",2,18,31,8.6,2211,"tt5616032","tt4145054"
"Shadowhunters",2016,"Hail and Farewell",2,19,32,8.4,2110,"tt5616038","tt4145054"
"Shadowhunters",2016,"Beside Still Water",2,20,33,8.8,2298,"tt5616044","tt4145054"
"Shadowhunters",2016,"On Infernal Ground",3,1,34,8.2,2260,"tt7195802","tt4145054"
"Shadowhunters",2016,"The Powers That Be",3,2,35,8.5,2228,"tt7176466","tt4145054"
"Shadowhunters",2016,"What Lies Beneath",3,3,36,8.3,2144,"tt7176470","tt4145054"
"Shadowhunters",2016,"Thy Soul Instructed",3,4,37,8.2,2101,"tt7176484","tt4145054"
"Shadowhunters",2016,"Stronger Than Heaven",3,5,38,8.3,2096,"tt7262848","tt4145054"
"Shadowhunters",2016,"A Window into an Empty Room",3,6,39,8.2,2091,"tt7262852","tt4145054"
"Shadowhunters",2016,"Salt in the Wound",3,7,40,8.3,2077,"tt7262854","tt4145054"
"Shadowhunters",2016,"A Heart of Darkness",3,8,41,8.4,2099,"tt7262856","tt4145054"
"Shadowhunters",2016,"Familia Ante Omnia",3,9,42,8.5,2168,"tt7262866","tt4145054"
"Shadowhunters",2016,"Erchomai",3,10,43,9,2410,"tt7262868","tt4145054"
"Shadowhunters",2016,"Lost Souls",3,11,44,8,856,"tt7365376","tt4145054"
"Shadowhunters",2016,"Original Sin",3,12,45,8.1,751,"tt7365378","tt4145054"
"Shadowhunters",2016,"Beati Bellicosi",3,13,46,7.8,693,"tt7365380","tt4145054"
"Shadowhunters",2016,"A Kiss from a Rose",3,14,47,7.8,651,"tt7370754","tt4145054"
"Shadowhunters",2016,"To the Night Children",3,15,48,7.9,646,"tt7370758","tt4145054"
"Shadowhunters",2016,"Stay with Me",3,16,49,8.2,648,"tt7370762","tt4145054"
"Shadowhunters",2016,"Heavenly Fire",3,17,50,8.2,626,"tt7370764","tt4145054"
"Shadowhunters",2016,"The Beast Within",3,18,51,8,614,"tt7370768","tt4145054"
"Shadowhunters",2016,"Aku Cinta Kamu",3,19,52,8.1,612,"tt7370770","tt4145054"
"Shadowhunters",2016,"City of Glass",3,20,53,8.7,660,"tt7370774","tt4145054"
"Shadowhunters",2016,"Alliance",3,21,54,8.6,632,"tt8519980","tt4145054"
"Shadowhunters",2016,"All Good Things...",3,22,55,8.6,891,"tt8519982","tt4145054"
