"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Hell's Paradise: Jigokuraku",2023,"The Death Row Convict and the Executioner",1,1,1,8.2,1416,"tt16476812","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Screening and Choosing",1,2,2,8.4,1164,"tt27465678","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Weakness and Strength",1,3,3,8.5,1134,"tt27470735","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Hell and Paradise",1,4,4,8,948,"tt27556779","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"The Samurai and the Woman",1,5,5,7.6,861,"tt27580344","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Heart and Reason",1,6,6,8.1,848,"tt27580346","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Flowers and Offerings",1,7,7,7.9,787,"tt27580538","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Student and Master",1,8,8,8.9,1165,"tt27580539","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Gods and People",1,9,9,9,1074,"tt27580540","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Yin and Yang",1,10,10,7.8,728,"tt27580541","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Weak and Strong",1,11,11,8.5,784,"tt27580543","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Umbrella and Ink",1,12,12,8.8,804,"tt27580545","tt13911284"
"Hell's Paradise: Jigokuraku",2023,"Dreams and Reality",1,13,13,8.7,758,"tt27580546","tt13911284"
