"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Please Like Me",2013,"Rhubarb and Custard",1,1,1,7.5,480,"tt2157811","tt2155025"
"Please Like Me",2013,"French Toast",1,2,2,7.6,408,"tt2157813","tt2155025"
"Please Like Me",2013,"Portuguese Custard Tarts",1,3,3,8.1,396,"tt2157815","tt2155025"
"Please Like Me",2013,"All You Can Eat",1,4,4,7.8,356,"tt2157817","tt2155025"
"Please Like Me",2013,"Spanish Eggs",1,5,5,8,352,"tt2157819","tt2155025"
"Please Like Me",2013,"Horrible Sandwiches",1,6,6,8.1,362,"tt2157821","tt2155025"
"Please Like Me",2013,"Milk",2,1,7,7.8,346,"tt3343168","tt2155025"
"Please Like Me",2013,"Ham",2,2,8,8,318,"tt3343164","tt2155025"
"Please Like Me",2013,"Parmigiana",2,3,9,8.2,314,"tt3343172","tt2155025"
"Please Like Me",2013,"Gang Keow Wan",2,4,10,8,309,"tt3343170","tt2155025"
"Please Like Me",2013,"Sausage Sizzle",2,5,11,8.3,315,"tt3343166","tt2155025"
"Please Like Me",2013,"Lapin a La Cocotte",2,6,12,8.2,306,"tt3343176","tt2155025"
"Please Like Me",2013,"Scroggin",2,7,13,9,490,"tt3343178","tt2155025"
"Please Like Me",2013,"Truffled Mac and Cheese",2,8,14,8.1,300,"tt3343174","tt2155025"
"Please Like Me",2013,"Skinny Latte",2,9,15,8.2,280,"tt3343182","tt2155025"
"Please Like Me",2013,"Margherita",2,10,16,8.4,294,"tt3343180","tt2155025"
"Please Like Me",2013,"Eggplant",3,1,17,8.7,362,"tt3963452","tt2155025"
"Please Like Me",2013,"Simple Carbohydrates",3,2,18,8.9,364,"tt4194930","tt2155025"
"Please Like Me",2013,"Croquembouche",3,3,19,8.6,306,"tt4194940","tt2155025"
"Please Like Me",2013,"Natural Spring Water",3,4,20,8.6,319,"tt4194934","tt2155025"
"Please Like Me",2013,"Coq Au Vin",3,5,21,8.3,344,"tt4194932","tt2155025"
"Please Like Me",2013,"Pancakes with Faces",3,6,22,8.4,307,"tt4194928","tt2155025"
"Please Like Me",2013,"Puff Pastry Pizza",3,7,23,8.4,284,"tt4194936","tt2155025"
"Please Like Me",2013,"Amoxicillin",3,8,24,8.3,276,"tt4194942","tt2155025"
"Please Like Me",2013,"Champagne",3,9,25,8.6,278,"tt4194948","tt2155025"
"Please Like Me",2013,"Christmas Trifle",3,10,26,8.7,312,"tt4194946","tt2155025"
"Please Like Me",2013,"Babaganoush",4,1,27,7.9,262,"tt5711592","tt2155025"
"Please Like Me",2013,"Porridge",4,2,28,8.4,270,"tt5711596","tt2155025"
"Please Like Me",2013,"Beluga Caviar",4,3,29,8,234,"tt5711598","tt2155025"
"Please Like Me",2013,"Degustation",4,4,30,9.1,392,"tt5711602","tt2155025"
"Please Like Me",2013,"Burrito Bowl",4,5,31,9.5,552,"tt5711604","tt2155025"
"Please Like Me",2013,"Souvlaki",4,6,32,8.6,292,"tt5711606","tt2155025"
