"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Yeditepe Istanbul",2001,"Episode #1.1",1,1,1,8.3,17,"tt0751654","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.2",1,2,2,7.7,14,"tt0751655","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.3",1,3,3,8.4,13,"tt0751656","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.4",1,4,4,7.7,10,"tt0751657","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.5",1,5,5,7.3,12,"tt0751658","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.6",1,6,6,8.2,13,"tt0751659","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.7",1,7,7,7.2,12,"tt0751660","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.8",1,8,8,8.6,14,"tt0751661","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.9",1,9,9,7.7,10,"tt7799432","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.10",1,10,10,8.2,10,"tt7798448","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.11",1,11,11,7.5,10,"tt7798450","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.12",1,12,12,8,10,"tt7798454","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.13",1,13,13,7.9,12,"tt7798456","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.14",1,14,14,7.9,11,"tt7798460","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.15",1,15,15,7.7,10,"tt7798462","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.16",1,16,16,7.2,10,"tt7798468","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.17",1,17,17,7.7,10,"tt7798470","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.18",1,18,18,7.5,11,"tt7798474","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.19",1,19,19,7.8,9,"tt7798476","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.20",1,20,20,6.8,8,"tt7798478","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.21",1,21,21,7.2,8,"tt7798484","tt0290995"
"Yeditepe Istanbul",2001,"Episode #1.22",1,22,22,7,8,"tt7798488","tt0290995"
"Yeditepe Istanbul",2001,"Finale",1,47,23,9,10,"tt7798574","tt0290995"
