"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Thirtysomething",1987,"Thirtysomething",1,1,1,8.3,106,"tt0755545","tt0092492"
"Thirtysomething",1987,"The Parents Are Coming",1,2,2,8.6,93,"tt0755520","tt0092492"
"Thirtysomething",1987,"Housewarming",1,3,3,8.7,90,"tt0755496","tt0092492"
"Thirtysomething",1987,"Couples",1,4,4,8.7,83,"tt0755484","tt0092492"
"Thirtysomething",1987,"But Not for Me",1,5,5,8.4,93,"tt0755480","tt0092492"
"Thirtysomething",1987,"We Gather Together",1,6,6,8.4,87,"tt0755549","tt0092492"
"Thirtysomething",1987,"Nice Work If You Can Get It",1,7,7,8.8,85,"tt0755515","tt0092492"
"Thirtysomething",1987,"Weaning",1,8,8,8.9,83,"tt0755551","tt0092492"
"Thirtysomething",1987,"I'll Be Home for Christmas",1,9,9,8.8,95,"tt0755497","tt0092492"
"Thirtysomething",1987,"South by Southeast",1,10,10,8.6,87,"tt0755532","tt0092492"
"Thirtysomething",1987,"Therapy",1,11,11,8.9,85,"tt0755544","tt0092492"
"Thirtysomething",1987,"Competition",1,12,12,8.8,72,"tt0755483","tt0092492"
"Thirtysomething",1987,"Separation",1,13,13,8.9,80,"tt0755530","tt0092492"
"Thirtysomething",1987,"I'm in Love I'm in Love I'm in Love I'm in Love I'm in Love with a Wonderful Gynecologist",1,14,14,8.8,69,"tt0755499","tt0092492"
"Thirtysomething",1987,"Business as Usual",1,15,15,8.6,85,"tt0755479","tt0092492"
"Thirtysomething",1987,"Accounts Receivable",1,16,16,8.8,88,"tt0755472","tt0092492"
"Thirtysomething",1987,"Whose Forest Is This?",1,17,17,8.8,83,"tt0755552","tt0092492"
"Thirtysomething",1987,"Nancy's First Date",1,18,18,8.7,83,"tt0755509","tt0092492"
"Thirtysomething",1987,"Undone",1,19,19,8.8,77,"tt0755548","tt0092492"
"Thirtysomething",1987,"Tenure",1,20,20,9,81,"tt0755535","tt0092492"
"Thirtysomething",1987,"Born to Be Mild",1,21,21,8.9,69,"tt0755478","tt0092492"
"Thirtysomething",1987,"We'll Meet Again",2,1,22,8.7,90,"tt0755550","tt0092492"
"Thirtysomething",1987,"In Re: The Marriage of Weston",2,2,23,9,79,"tt0755500","tt0092492"
"Thirtysomething",1987,"The Mike Van Dyke Show",2,3,24,8.8,96,"tt0755542","tt0092492"
"Thirtysomething",1987,"Trust Me",2,4,25,8.8,66,"tt0755547","tt0092492"
"Thirtysomething",1987,"No Promises",2,5,26,8.9,70,"tt0755516","tt0092492"
"Thirtysomething",1987,"Politics",2,6,27,8.7,65,"tt0755524","tt0092492"
"Thirtysomething",1987,"Success",2,7,28,9,76,"tt0755534","tt0092492"
"Thirtysomething",1987,"First Day/Last Day",2,8,29,8.8,77,"tt0755489","tt0092492"
"Thirtysomething",1987,"About Last Night",2,9,30,8.9,69,"tt0755471","tt0092492"
"Thirtysomething",1987,"Elliot's Dad",2,10,31,8.8,66,"tt0755487","tt0092492"
"Thirtysomething",1987,"Payment Due",2,11,32,8.8,67,"tt0755521","tt0092492"
"Thirtysomething",1987,"Deliverance",2,12,33,8.5,64,"tt0755486","tt0092492"
"Thirtysomething",1987,"Michael Writes a Story",2,13,34,8.7,68,"tt0755506","tt0092492"
"Thirtysomething",1987,"New Job",2,14,35,8.9,67,"tt0755513","tt0092492"
"Thirtysomething",1987,"Be a Good Girl",2,15,36,9.1,78,"tt0755476","tt0092492"
"Thirtysomething",1987,"Courting Nancy",2,16,37,9,68,"tt0755485","tt0092492"
"Thirtysomething",1987,"Best of Enemies",2,17,38,9,71,"tt0755477","tt0092492"
"Thirtysomething",1987,"Nancy's Mom",3,1,39,9,70,"tt0755510","tt0092492"
"Thirtysomething",1987,"Love and Sex",3,2,40,8.4,90,"tt0755503","tt0092492"
"Thirtysomething",1987,"Mr. Right",3,3,41,9,78,"tt0755508","tt0092492"
"Thirtysomething",1987,"New Baby",3,4,42,9,81,"tt0755512","tt0092492"
"Thirtysomething",1987,"Legacy",3,5,43,9.1,80,"tt0755501","tt0092492"
"Thirtysomething",1987,"Strangers",3,6,44,8.9,80,"tt0755533","tt0092492"
"Thirtysomething",1987,"Pilgrims",3,7,45,8.9,71,"tt0755523","tt0092492"
"Thirtysomething",1987,"The Burning Bush",3,8,46,9.1,77,"tt0755536","tt0092492"
"Thirtysomething",1987,"New Parents",3,9,47,8.9,72,"tt0755514","tt0092492"
"Thirtysomething",1987,"Michael's Campaign",3,10,48,9.1,80,"tt0755507","tt0092492"
"Thirtysomething",1987,"Pulling Away",3,11,49,9,67,"tt0755527","tt0092492"
"Thirtysomething",1987,"Another Country",3,12,50,8.8,88,"tt0755474","tt0092492"
"Thirtysomething",1987,"Post-Op",3,13,51,9,83,"tt0755525","tt0092492"
"Thirtysomething",1987,"Once a Mermaid",3,14,52,9,73,"tt0755517","tt0092492"
"Thirtysomething",1987,"Fathers and Lovers",3,15,53,8.8,69,"tt0755488","tt0092492"
"Thirtysomething",1987,"Her Cup Runneth Over",3,16,54,9,66,"tt0755494","tt0092492"
"Thirtysomething",1987,"Good Sex Bad Sex What Sex No Sex",3,17,55,8.8,75,"tt0755491","tt0092492"
"Thirtysomething",1987,"The Other Shoe",3,18,56,8.7,66,"tt0755543","tt0092492"
"Thirtysomething",1987,"Three Year Itch",3,19,57,9,69,"tt0755546","tt0092492"
"Thirtysomething",1987,"I'm Nobody Who Are You?",3,20,58,8.9,73,"tt0755498","tt0092492"
"Thirtysomething",1987,"Arizona",3,21,59,9,78,"tt0755475","tt0092492"
"Thirtysomething",1987,"Going Limp",3,22,60,8.8,74,"tt0755490","tt0092492"
"Thirtysomething",1987,"The Go Between",3,23,61,9.2,80,"tt0755539","tt0092492"
"Thirtysomething",1987,"Samurai Ad Man",3,24,62,9.2,74,"tt0755528","tt0092492"
"Thirtysomething",1987,"Prelude to a Bris",4,1,63,9,80,"tt0755526","tt0092492"
"Thirtysomething",1987,"Life Class",4,2,64,9.2,77,"tt0755502","tt0092492"
"Thirtysomething",1987,"Control",4,3,65,9,65,"tt0757782","tt0092492"
"Thirtysomething",1987,"The Distance",4,4,66,8.6,67,"tt0755538","tt0092492"
"Thirtysomething",1987,"The Haunting of DAA",4,5,67,8.9,71,"tt0755541","tt0092492"
"Thirtysomething",1987,"The Guilty Party",4,6,68,8.8,64,"tt0755540","tt0092492"
"Thirtysomething",1987,"Photo Opportunity",4,7,69,8.8,62,"tt0755522","tt0092492"
"Thirtysomething",1987,"Never Better",4,8,70,8.9,63,"tt0755511","tt0092492"
"Thirtysomething",1987,"Guns and Roses",4,9,71,8.9,69,"tt0755492","tt0092492"
"Thirtysomething",1987,"Happy New Year",4,10,72,9.1,79,"tt0755493","tt0092492"
"Thirtysomething",1987,"Melissa and Men",4,11,73,9.1,74,"tt0755504","tt0092492"
"Thirtysomething",1987,"Advanced Beginners",4,12,74,9.5,75,"tt0755473","tt0092492"
"Thirtysomething",1987,"Sifting the Ashes",4,13,75,9.1,74,"tt0755531","tt0092492"
"Thirtysomething",1987,"Second Look",4,14,76,9,91,"tt0755529","tt0092492"
"Thirtysomething",1987,"Fighting the Cold",4,15,77,9.1,101,"tt0864324","tt0092492"
"Thirtysomething",1987,"The Difference Between Men and Women",4,16,78,8.6,64,"tt0755537","tt0092492"
"Thirtysomething",1987,"The Wedding",4,17,79,8.8,70,"tt0755518","tt0092492"
"Thirtysomething",1987,"Closing the Circle",4,18,80,9,68,"tt0755482","tt0092492"
"Thirtysomething",1987,"Out the Door",4,19,81,9.1,72,"tt0755519","tt0092492"
"Thirtysomething",1987,"Hopeless",4,20,82,9.2,77,"tt0755495","tt0092492"
"Thirtysomething",1987,"A Stop at Willoughby",4,21,83,8.8,74,"tt0755470","tt0092492"
"Thirtysomething",1987,"Melissa in Wonderland",4,22,84,9,73,"tt0755505","tt0092492"
"Thirtysomething",1987,"California",4,23,85,8.9,79,"tt0755481","tt0092492"
