"Show_Name","startYear","Episode_Name","seasonNumber","episodeNumber_in_season","episodeNumber_overall","averageRating","numVotes","tconst","parentTconst"
"Chris Chan: A Comprehensive History",2018,"Part 1",1,1,1,9.1,30,"tt8349632","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 2",1,2,2,8.8,24,"tt8361426","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 3",1,3,3,8.8,22,"tt8362874","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 4",1,4,4,9.2,19,"tt8362998","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 5",1,5,5,8.9,17,"tt8365370","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 6",1,6,6,8.9,17,"tt8386802","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 7",1,7,7,9,16,"tt8387864","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 8",1,8,8,8.8,16,"tt8392004","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 9",1,9,9,8.8,16,"tt8396078","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 10",1,10,10,9.2,22,"tt8410906","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 11",1,11,11,8.8,18,"tt8470888","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 12",1,12,12,8.7,16,"tt8620152","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 13",1,13,13,9.1,16,"tt9240518","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 14",1,15,14,8.2,14,"tt10423756","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 15",1,16,15,7.9,12,"tt10655194","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 16",1,17,16,8.1,12,"tt10655202","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 17",1,18,17,8,12,"tt12732422","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 18",1,19,18,7.4,12,"tt12732432","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 19",1,20,19,8.1,14,"tt12732438","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 20",1,21,20,7.1,10,"tt12732440","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 21",1,22,21,6.9,11,"tt12735548","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 22",1,23,22,6.6,10,"tt12735552","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 23",1,24,23,7.1,10,"tt12735556","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 24",1,25,24,7.3,10,"tt12736802","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 25",1,26,25,6.8,9,"tt12735558","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 26",1,27,26,7.1,9,"tt12735562","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 27",1,28,27,7.5,12,"tt12735566","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 28",1,29,28,7.8,10,"tt12735568","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 29",1,30,29,8,13,"tt12735570","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 30",1,31,30,7.5,12,"tt12735572","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 31",1,32,31,7.6,12,"tt12810744","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 32",1,33,32,7.3,11,"tt12810748","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 33",1,34,33,7.7,12,"tt12810778","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 34",1,35,34,7.4,11,"tt12810780","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 35",1,36,35,6.6,8,"tt12810782","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 36",1,37,36,7.9,10,"tt12810784","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 37",1,38,37,7.5,9,"tt12810786","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 38",1,39,38,7.4,8,"tt12810790","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 39",1,40,39,7.4,8,"tt12810792","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 40",1,41,40,7.3,8,"tt12810794","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 41",1,42,41,7.3,8,"tt12810796","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 42",1,43,42,7.6,8,"tt12987112","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 43",1,44,43,7.6,8,"tt13195640","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 44",1,45,44,8,6,"tt13451980","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 59",1,60,45,8.4,5,"tt15565184","tt8264568"
"Chris Chan: A Comprehensive History",2018,"Part 85",1,86,46,9.6,8,"tt31805665","tt8264568"
